Date,DXY,SP500,US10Y,VIX
2021-06-18,92.2300033569336,4166.4501953125,1.4500000476837158,20.700000762939453
2021-06-21,91.86000061035156,4224.7900390625,1.4839999675750732,17.889999389648438
2021-06-22,91.7300033569336,4246.43994140625,1.472000002861023,16.65999984741211
2021-06-23,91.80000305175781,4241.83984375,1.4869999885559082,16.31999969482422
2021-06-24,91.81999969482422,4266.490234375,1.4869999885559082,15.970000267028809
2021-06-25,91.80999755859375,4280.7001953125,1.5360000133514404,15.619999885559082
2021-06-28,91.87999725341797,4290.60986328125,1.4780000448226929,15.760000228881836
2021-06-29,92.05000305175781,4291.7998046875,1.4800000190734863,16.020000457763672
2021-06-30,92.44000244140625,4297.5,1.4429999589920044,15.829999923706055
2021-07-01,92.5999984741211,4319.93994140625,1.4800000190734863,15.479999542236328
2021-07-02,92.2300033569336,4352.33984375,1.430999994277954,15.069999694824219
2021-07-06,92.55000305175781,4343.5400390625,1.3700000047683716,16.440000534057617
2021-07-07,92.63999938964844,4358.1298828125,1.3209999799728394,16.200000762939453
2021-07-08,92.36000061035156,4320.81982421875,1.2879999876022339,19.0
2021-07-09,92.12999725341797,4369.5498046875,1.3559999465942383,16.18000030517578
2021-07-12,92.2300033569336,4384.6298828125,1.3630000352859497,16.170000076293945
2021-07-13,92.75,4369.2099609375,1.4149999618530273,17.1200008392334
2021-07-14,92.41000366210938,4374.2998046875,1.3559999465942383,16.329999923706055
2021-07-15,92.62000274658203,4360.02978515625,1.2970000505447388,17.010000228881836
2021-07-16,92.69000244140625,4327.16015625,1.2999999523162842,18.450000762939453
2021-07-19,92.88999938964844,4258.490234375,1.180999994277954,22.5
2021-07-20,92.97000122070312,4323.06005859375,1.2089999914169312,19.729999542236328
2021-07-21,92.75,4358.68994140625,1.2799999713897705,17.90999984741211
2021-07-22,92.81999969482422,4367.47998046875,1.2649999856948853,17.690000534057617
2021-07-23,92.91000366210938,4411.7900390625,1.2860000133514404,17.200000762939453
2021-07-26,92.6500015258789,4422.2998046875,1.2760000228881836,17.579999923706055
2021-07-27,92.43000030517578,4401.4599609375,1.2339999675750732,19.360000610351562
2021-07-28,92.31999969482422,4400.64013671875,1.2610000371932983,18.309999465942383
2021-07-29,91.86000061035156,4419.14990234375,1.2690000534057617,17.700000762939453
2021-07-30,92.16999816894531,4395.259765625,1.2389999628067017,18.239999771118164
2021-08-02,92.05000305175781,4387.16015625,1.1740000247955322,19.459999084472656
2021-08-03,92.08000183105469,4423.14990234375,1.1759999990463257,18.040000915527344
2021-08-04,92.2699966430664,4402.66015625,1.184000015258789,17.969999313354492
2021-08-05,92.23999786376953,4429.10009765625,1.2170000076293945,17.280000686645508
2021-08-06,92.80000305175781,4436.52001953125,1.2899999618530273,16.149999618530273
2021-08-09,92.94999694824219,4432.35009765625,1.3170000314712524,16.719999313354492
2021-08-10,93.05999755859375,4436.75,1.3420000076293945,16.790000915527344
2021-08-11,92.91000366210938,4442.41015625,1.3289999961853027,16.170000076293945
2021-08-12,93.04000091552734,4460.830078125,1.3669999837875366,15.59000015258789
2021-08-13,92.5199966430664,4468.0,1.2970000505447388,15.449999809265137
2021-08-16,92.62999725341797,4479.7099609375,1.2569999694824219,16.1200008392334
2021-08-17,93.12999725341797,4448.080078125,1.2580000162124634,17.90999984741211
2021-08-18,93.13999938964844,4400.27001953125,1.2730000019073486,21.56999969482422
2021-08-19,93.56999969482422,4405.7998046875,1.2419999837875366,21.670000076293945
2021-08-20,93.5,4441.669921875,1.2599999904632568,18.559999465942383
2021-08-23,92.95999908447266,4479.52978515625,1.2549999952316284,17.149999618530273
2021-08-24,92.88999938964844,4486.22998046875,1.2899999618530273,17.219999313354492
2021-08-25,92.83000183105469,4496.18994140625,1.3420000076293945,16.790000915527344
2021-08-26,93.05999755859375,4470.0,1.3420000076293945,18.84000015258789
2021-08-27,92.69000244140625,4509.3701171875,1.312000036239624,16.389999389648438
2021-08-30,92.6500015258789,4528.7900390625,1.284999966621399,16.190000534057617
2021-08-31,92.62999725341797,4522.68017578125,1.3040000200271606,16.479999542236328
2021-09-01,92.44999694824219,4524.08984375,1.3020000457763672,16.110000610351562
2021-09-02,92.2300033569336,4536.9501953125,1.2940000295639038,16.40999984741211
2021-09-03,92.04000091552734,4535.43017578125,1.3220000267028809,16.40999984741211
2021-09-07,92.5199966430664,4520.02978515625,1.3700000047683716,18.139999389648438
2021-09-08,92.6500015258789,4514.06982421875,1.3339999914169312,17.959999084472656
2021-09-09,92.4800033569336,4493.27978515625,1.2990000247955322,18.799999237060547
2021-09-10,92.58000183105469,4458.580078125,1.340999960899353,20.950000762939453
2021-09-13,92.62000274658203,4468.72998046875,1.3240000009536743,19.3700008392334
2021-09-14,92.6500015258789,4443.0498046875,1.2769999504089355,19.459999084472656
2021-09-15,92.48999786376953,4480.7001953125,1.3040000200271606,18.18000030517578
2021-09-16,92.86000061035156,4473.75,1.3309999704360962,18.690000534057617
2021-09-17,93.19999694824219,4432.990234375,1.3700000047683716,20.809999465942383
2021-09-20,93.23999786376953,4357.72998046875,1.309000015258789,25.709999084472656
2021-09-21,93.19999694824219,4354.18994140625,1.3240000009536743,24.360000610351562
2021-09-22,93.45999908447266,4395.64013671875,1.3359999656677246,20.8700008392334
2021-09-23,93.0999984741211,4448.97998046875,1.409999966621399,18.6299991607666
2021-09-24,93.33000183105469,4455.47998046875,1.4600000381469727,17.75
